TITLE,S2L
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,22/10/19
TIME,15:41:03
SPECTROMETER/DATA SYSTEM,
LOCALE,16393
RESOLUTION,
DELTAX,0.5
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  370.0000
LASTX,  800.0000
NPOINTS,     861
FIRSTY,   502.63272
MAXY,   502.63272
MINY,     1.45963
XYDATA
720.5000,3.20753
721.0000,3.17625
721.5000,3.16635
722.0000,3.0878
722.5000,3.05067
723.0000,2.97662
723.5000,2.91032
724.0000,2.86941
724.5000,2.83021
725.0000,2.83663
725.5000,2.81572
726.0000,2.8151
726.5000,2.80735
727.0000,2.79515
727.5000,2.73822
728.0000,2.70917
728.5000,2.6851
729.0000,2.63195
729.5000,2.62995
730.0000,2.6174
730.5000,2.61882
731.0000,2.64297
731.5000,2.63496
732.0000,2.64616
732.5000,2.67009
733.0000,2.64275
733.5000,2.63944
734.0000,2.61245
734.5000,2.58172
735.0000,2.51733
735.5000,2.46887
736.0000,2.46259
736.5000,2.4457
737.0000,2.46217
737.5000,2.44601
738.0000,2.42163
738.5000,2.40045
739.0000,2.35652
739.5000,2.32734
740.0000,2.34434
740.5000,2.30713
741.0000,2.27408
741.5000,2.24245
742.0000,2.22208
742.5000,2.2309
743.0000,2.20696
743.5000,2.21349
744.0000,2.2302
744.5000,2.22585
745.0000,2.19175
745.5000,2.15144
746.0000,2.14632
746.5000,2.12489
747.0000,2.1112
747.5000,2.10809
748.0000,2.08615
748.5000,2.07714
749.0000,2.08472
749.5000,2.10842
750.0000,2.08219
750.5000,2.06607
751.0000,2.06072
751.5000,2.05474
752.0000,2.07371
752.5000,2.08707
753.0000,2.07183
753.5000,2.09731
754.0000,2.09277
754.5000,2.05057
755.0000,2.05382
755.5000,2.05024
756.0000,2.07276
756.5000,2.074
757.0000,2.05622
757.5000,2.04547
758.0000,2.03857
758.5000,2.00418
759.0000,1.99507
759.5000,1.99939
760.0000,1.99104
760.5000,1.98025
761.0000,1.95576
761.5000,1.93657
762.0000,1.93775
762.5000,1.94034
763.0000,1.95377
763.5000,1.96434
764.0000,1.94804
764.5000,1.94385
765.0000,1.95267
765.5000,1.92936
766.0000,1.90882
766.5000,1.90749
767.0000,1.90456
767.5000,1.86389
768.0000,1.83603
768.5000,1.82637
769.0000,1.80056
769.5000,1.78472
770.0000,1.75321
770.5000,1.73514
771.0000,1.73515
771.5000,1.7476
772.0000,1.72619
772.5000,1.72151
773.0000,1.71903
773.5000,1.69989
774.0000,1.68805
774.5000,1.67263
775.0000,1.65884
775.5000,1.64573
776.0000,1.615
776.5000,1.60012
777.0000,1.59304
777.5000,1.5678
778.0000,1.55804
778.5000,1.55245
779.0000,1.55491
779.5000,1.57904
780.0000,1.59327
780.5000,1.58832
781.0000,1.59863
781.5000,1.59492
782.0000,1.60548
782.5000,1.60889
783.0000,1.63764
783.5000,1.63206
784.0000,1.63482
784.5000,1.62502
785.0000,1.61452
785.5000,1.60628
786.0000,1.61379
786.5000,1.60748
787.0000,1.59465
787.5000,1.57545
788.0000,1.56983
788.5000,1.56245
789.0000,1.55621
789.5000,1.58546
790.0000,1.57309
790.5000,1.57244
791.0000,1.56294
791.5000,1.54753
792.0000,1.58407
792.5000,1.56336
793.0000,1.53746
793.5000,1.52154
794.0000,1.49572
794.5000,1.45963
795.0000,1.4749
795.5000,1.48421
796.0000,1.50552
796.5000,1.49131
797.0000,1.47551
797.5000,1.50463
798.0000,1.49907
798.5000,1.50102
799.0000,1.52865
799.5000,1.52141
800.0000,1.52581

##### Extended Information
[Comments]
Sample name,S2L
Comment
User
Division
Company,IIT Gandhinagar

[Detailed Information]
Creation date,19-10-2022 15:41

Data array type,Linear data array
Horizontal axis,Wavelength [nm]
Vertical axis,Int.
Start,370 nm
End,800 nm
Data interval,0.5 nm
Data points,861     

[Measurement Information]
Model name,FP-8300
Serial No.,D057761450
  Ex filter holder,None
  Em filter holder,None

Accessory,ETC-815
Accessory S/N,B020461516
  Temperature,25.14 C
  Control sensor,Cell 1
  Monitor sensor,Cell
  Start mode,Start immediately

Measurement date,19-10-2022 15:41

Mode,Emission
Ex bandwidth,5 nm
Em bandwidth,5 nm
Response,1 sec
Sensitivity,High
Measurement range,370 - 800 nm
Data interval,0.5 nm
Ex wavelength,350.0 nm
Scan speed,1000 nm/min
Auto gain,Off
Light source,Xe lamp
Filter,Stop scan for exchanging filter
Blank correction,Off

