TITLE,
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,22/10/18
TIME,18:47:16
SPECTROMETER/DATA SYSTEM,
LOCALE,16393
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  900.0000
LASTX,  200.0000
NPOINTS,    3501
FIRSTY,     0.41798
MAXY,     0.75010
MINY,     0.41378
XYDATA
838.2000,0.452188
838.0000,0.452378
837.8000,0.452304
837.6000,0.451964
837.4000,0.452157
837.2000,0.452438
837.0000,0.45236
836.8000,0.452493
836.6000,0.452589
836.4000,0.452596
836.2000,0.452494
836.0000,0.452543
835.8000,0.452573
835.6000,0.452951
835.4000,0.452952
835.2000,0.452767
835.0000,0.453009
834.8000,0.453392
834.6000,0.453135
834.4000,0.452943
834.2000,0.452955
834.0000,0.453027
833.8000,0.453211
833.6000,0.453348
833.4000,0.453836
833.2000,0.453709
833.0000,0.453763
832.8000,0.453923
832.6000,0.453744
832.4000,0.453536
832.2000,0.453609
832.0000,0.453828
831.8000,0.453847
831.6000,0.453837
831.4000,0.45398
831.2000,0.453807
831.0000,0.453547
830.8000,0.453685
830.6000,0.453755
830.4000,0.453695
830.2000,0.453826
830.0000,0.454307
829.8000,0.454359
829.6000,0.454213
829.4000,0.454144
829.2000,0.454382
829.0000,0.454623
828.8000,0.453946
828.6000,0.453848
828.4000,0.454276
828.2000,0.454394
828.0000,0.454464
827.8000,0.454308
827.6000,0.454573
827.4000,0.45479
827.2000,0.454482
827.0000,0.454624
826.8000,0.454616
826.6000,0.454608
826.4000,0.455193
826.2000,0.455026
826.0000,0.45484
825.8000,0.454739
825.6000,0.454545
825.4000,0.454558
825.2000,0.45502
825.0000,0.455156
824.8000,0.455042
824.6000,0.455144
824.4000,0.455022
824.2000,0.454944
824.0000,0.454916
823.8000,0.454852
823.6000,0.454479
823.4000,0.45463
823.2000,0.455097
823.0000,0.455107
822.8000,0.454684
822.6000,0.454885
822.4000,0.45542
822.2000,0.455582
822.0000,0.455419
821.8000,0.454861
821.6000,0.454746
821.4000,0.455077
821.2000,0.455173
821.0000,0.455159
820.8000,0.455289
820.6000,0.455032
820.4000,0.455094
820.2000,0.455053
820.0000,0.45513
819.8000,0.455599
819.6000,0.455249
819.4000,0.454587
819.2000,0.454932
819.0000,0.455763
818.8000,0.455899
818.6000,0.455428
818.4000,0.455253
818.2000,0.455298
818.0000,0.455136
817.8000,0.455167
817.6000,0.455281
817.4000,0.455631
817.2000,0.455561
817.0000,0.455802
816.8000,0.455856
816.6000,0.455566
816.4000,0.455858
816.2000,0.455778
816.0000,0.455697
815.8000,0.455732
815.6000,0.455771
815.4000,0.455864
815.2000,0.455627
815.0000,0.456061
814.8000,0.4566
